Timestamp,Name,Value
2.630083,"NT:/CameraPublisher/USB Camera 0/source","usb:/dev/video0"
2.779334,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_sharpness/step",1
2.758672,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/hue/max",100
1.160963,"NT:/FMSInfo/MatchType",0
2.702801,"NT:/SmartDashboard/Driver Settings/Turn Deadband",0
2.757058,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/saturation/default",50
2.779195,"NT:/CameraPublisher/USB Camera 0/RawProperty/raw_sharpness",3
2.77962,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/sharpness/step",1
2.780049,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/backlight_compensation/step",1
2.468795,"NT:/SmartDashboard/Shooter/Feeder/Tuning PID",false
2.778851,"NT:/CameraPublisher/USB Camera 0/Property/white_balance_temperature",4600
2.765388,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/gamma/step",1
2.765858,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/gain/min",0
2.765992,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/gain/default",0
2.755084,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_contrast/min",0
2.765293,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/gamma/min",72
2.765433,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/gamma/default",100
3.724348,"NT:/SmartDashboard/Climber/Stall Detection",false
3.736325,"NT:/SmartDashboard/Color Sensor/Enabled",true
3.736475,"NT:/SmartDashboard/Color Sensor/Auto",false
3.736624,"NT:/SmartDashboard/Color Sensor/Target Bias",1.5
3.757727,"NT:/SmartDashboard/Swap Rainbow",false
3.775349,"NT:/limelight/.timing_data",true
3.783642,"NT:/limelight/ledMode",0
3.881064,"NT:/limelight/.timing_data",false
3.896272,"NT:/limelight/.timing_data",true
3.911694,"NT:/limelight/.timing_data",false
3.919633,"NT:/limelight/.timing_data",true
3.92911,"NT:/limelight/.timing_data",false
3.937413,"NT:/limelight/.timing_data",true
3.946081,"NT:/limelight/.timing_data",false
3.954032,"NT:/limelight/.timing_data",true
3.962138,"NT:/limelight/.timing_data",false
3.97076,"NT:/limelight/.timing_data",true
3.979056,"NT:/limelight/.timing_data",false
3.99034,"NT:/limelight/.timing_data",true
3.998363,"NT:/limelight/.timing_data",false
4.006944,"NT:/limelight/.timing_data",true
4.014899,"NT:/limelight/.timing_data",false
4.023616,"NT:/limelight/.timing_data",true
4.032314,"NT:/limelight/.timing_data",false
4.041468,"NT:/limelight/.timing_data",true
4.052257,"NT:/limelight/.timing_data",false
4.060981,"NT:/limelight/.timing_data",true
4.071064,"NT:/limelight/.timing_data",false
4.079674,"NT:/limelight/.timing_data",true
4.099139,"NT:/limelight/.timing_data",false
4.119076,"NT:/limelight/.timing_data",true
4.12961,"NT:/limelight/.timing_data",false
4.13942,"NT:/limelight/.timing_data",true
4.147193,"NT:/limelight/.timing_data",false
4.156072,"NT:/limelight/.timing_data",true
4.164073,"NT:/limelight/.timing_data",false
4.172115,"NT:/limelight/.timing_data",true
4.18054,"NT:/limelight/.timing_data",false
4.188964,"NT:/limelight/.timing_data",true
4.196474,"NT:/limelight/.timing_data",false
4.206962,"NT:/limelight/.timing_data",true
4.217141,"NT:/limelight/.timing_data",false
4.226134,"NT:/limelight/.timing_data",true
4.233973,"NT:/limelight/.timing_data",false
4.241024,"NT:/limelight/.timing_data",true
4.250398,"NT:/limelight/.timing_data",false
4.25884,"NT:/limelight/.timing_data",true
4.265768,"NT:/limelight/.timing_data",false
4.274605,"NT:/limelight/.timing_data",true
4.281815,"NT:/limelight/.timing_data",false
4.290621,"NT:/limelight/.timing_data",true
4.298277,"NT:/limelight/.timing_data",false
4.307128,"NT:/limelight/.timing_data",true
4.315485,"NT:/limelight/.timing_data",false
4.324095,"NT:/limelight/.timing_data",true
4.331231,"NT:/limelight/.timing_data",false
4.339137,"NT:/limelight/.timing_data",true
4.346458,"NT:/limelight/.timing_data",false
4.353754,"NT:/limelight/.timing_data",true
4.362145,"NT:/limelight/.timing_data",false
4.368992,"NT:/limelight/.timing_data",true
4.375906,"NT:/limelight/.timing_data",false
4.383722,"NT:/limelight/.timing_data",true
4.39117,"NT:/limelight/.timing_data",false
4.39865,"NT:/limelight/.timing_data",true
4.407351,"NT:/limelight/.timing_data",false
4.414766,"NT:/limelight/.timing_data",true
4.422224,"NT:/limelight/.timing_data",false
4.430022,"NT:/limelight/.timing_data",true
4.438452,"NT:/limelight/.timing_data",false
4.44549,"NT:/limelight/.timing_data",true
4.45368,"NT:/limelight/.timing_data",false
4.489925,"NT:/limelight/.timing_data",true
4.500034,"NT:/limelight/.timing_data",false
4.507942,"NT:/limelight/.timing_data",true
4.515201,"NT:/limelight/.timing_data",false
4.523061,"NT:/limelight/.timing_data",true
4.530808,"NT:/limelight/.timing_data",false
4.538987,"NT:/limelight/.timing_data",true
4.545954,"NT:/limelight/.timing_data",false
4.553246,"NT:/limelight/.timing_data",true
4.562361,"NT:/limelight/.timing_data",false
4.570783,"NT:/limelight/.timing_data",true
4.577957,"NT:/limelight/.timing_data",false
4.585943,"NT:/limelight/.timing_data",true
4.592784,"NT:/limelight/.timing_data",false
4.599852,"NT:/limelight/.timing_data",true
4.607323,"NT:/limelight/.timing_data",false
4.621379,"NT:/limelight/.timing_data",true
4.628913,"NT:/limelight/.timing_data",false
4.635812,"NT:/limelight/.timing_data",true
4.64285,"NT:/limelight/.timing_data",false
4.650621,"NT:/limelight/.timing_data",true
4.658873,"NT:/limelight/.timing_data",false
4.665512,"NT:/limelight/.timing_data",true
4.673715,"NT:/limelight/.timing_data",false
4.680551,"NT:/limelight/.timing_data",true
4.686934,"NT:/limelight/.timing_data",false
4.699181,"NT:/limelight/.timing_data",true
4.706489,"NT:/limelight/.timing_data",false
4.714309,"NT:/limelight/.timing_data",true
4.721796,"NT:/limelight/.timing_data",false
4.729289,"NT:/limelight/.timing_data",true
4.737611,"NT:/limelight/.timing_data",false
4.743878,"NT:/limelight/.timing_data",true
4.751395,"NT:/limelight/.timing_data",false
4.759473,"NT:/limelight/.timing_data",true
4.76694,"NT:/limelight/.timing_data",false
4.773609,"NT:/limelight/.timing_data",true
4.781555,"NT:/limelight/.timing_data",false
4.790544,"NT:/limelight/.timing_data",true
4.796329,"NT:/limelight/.timing_data",false
4.804173,"NT:/limelight/.timing_data",true
4.811258,"NT:/limelight/.timing_data",false
4.817468,"NT:/limelight/.timing_data",true
4.825581,"NT:/limelight/.timing_data",false
4.832491,"NT:/limelight/.timing_data",true
4.841636,"NT:/limelight/.timing_data",false
4.848814,"NT:/limelight/.timing_data",true
4.858987,"NT:/limelight/.timing_data",false
4.8661,"NT:/limelight/.timing_data",true
4.875739,"NT:/limelight/.timing_data",false
4.883068,"NT:/limelight/.timing_data",true
4.894188,"NT:/limelight/.timing_data",false
4.901843,"NT:/limelight/.timing_data",true
4.907871,"NT:/limelight/.timing_data",false
4.915879,"NT:/limelight/.timing_data",true
4.922259,"NT:/limelight/.timing_data",false
4.928871,"NT:/limelight/.timing_data",true
4.937414,"NT:/limelight/.timing_data",false
4.944716,"NT:/limelight/.timing_data",true
4.951502,"NT:/limelight/.timing_data",false
4.958872,"NT:/limelight/.timing_data",true
4.965597,"NT:/limelight/.timing_data",false
4.972262,"NT:/limelight/.timing_data",true
4.981071,"NT:/limelight/.timing_data",false
4.988176,"NT:/limelight/.timing_data",true
4.994557,"NT:/limelight/.timing_data",false
5.001496,"NT:/limelight/.timing_data",true
5.008974,"NT:/limelight/.timing_data",false
5.017455,"NT:/limelight/.timing_data",true
5.02629,"NT:/limelight/.timing_data",false
5.035642,"NT:/limelight/.timing_data",true
5.041952,"NT:/limelight/.timing_data",false
5.049584,"NT:/limelight/.timing_data",true
5.057048,"NT:/limelight/.timing_data",false
5.066011,"NT:/limelight/.timing_data",true
5.073513,"NT:/limelight/.timing_data",false
5.080393,"NT:/limelight/.timing_data",true
5.086554,"NT:/limelight/.timing_data",false
5.093668,"NT:/limelight/.timing_data",true
5.099847,"NT:/limelight/.timing_data",false
5.106554,"NT:/limelight/.timing_data",true
5.113866,"NT:/limelight/.timing_data",false
5.120764,"NT:/limelight/.timing_data",true
5.126823,"NT:/limelight/.timing_data",false
5.134937,"NT:/limelight/.timing_data",true
5.141548,"NT:/limelight/.timing_data",false
5.156008,"NT:/limelight/.timing_data",true
5.163004,"NT:/limelight/.timing_data",false
5.169224,"NT:/limelight/.timing_data",true
5.175257,"NT:/limelight/.timing_data",false
5.182809,"NT:/limelight/.timing_data",true
5.189228,"NT:/limelight/.timing_data",false
5.196028,"NT:/limelight/.timing_data",true
5.203264,"NT:/limelight/.timing_data",false
5.20976,"NT:/limelight/.timing_data",true
5.21623,"NT:/limelight/.timing_data",false
5.223209,"NT:/limelight/.timing_data",true
5.229573,"NT:/limelight/.timing_data",false
5.235758,"NT:/limelight/.timing_data",true
5.243513,"NT:/limelight/.timing_data",false
5.249537,"NT:/limelight/.timing_data",true
5.25813,"NT:/limelight/.timing_data",false
5.265484,"NT:/limelight/.timing_data",true
5.274233,"NT:/limelight/.timing_data",false
5.281154,"NT:/limelight/.timing_data",true
5.288434,"NT:/limelight/.timing_data",false
5.294612,"NT:/limelight/.timing_data",true
5.301184,"NT:/limelight/.timing_data",false
5.307944,"NT:/limelight/.timing_data",true
5.314788,"NT:/limelight/.timing_data",false
5.321643,"NT:/limelight/.timing_data",true
5.327634,"NT:/limelight/.timing_data",false
5.335307,"NT:/limelight/.timing_data",true
5.341559,"NT:/limelight/.timing_data",false
5.3478,"NT:/limelight/.timing_data",true
5.35468,"NT:/limelight/.timing_data",false
5.361685,"NT:/limelight/.timing_data",true
5.367693,"NT:/limelight/.timing_data",false
5.37508,"NT:/limelight/.timing_data",true
5.382004,"NT:/limelight/.timing_data",false
5.388089,"NT:/limelight/.timing_data",true
5.395446,"NT:/limelight/.timing_data",false
5.401779,"NT:/limelight/.timing_data",true
5.40793,"NT:/limelight/.timing_data",false
5.415028,"NT:/limelight/.timing_data",true
5.422105,"NT:/limelight/.timing_data",false
5.428088,"NT:/limelight/.timing_data",true
5.446534,"NT:/limelight/.timing_data",false
5.452928,"NT:/limelight/.timing_data",true
5.459243,"NT:/limelight/.timing_data",false
5.466395,"NT:/limelight/.timing_data",true
5.473027,"NT:/limelight/.timing_data",false
5.479536,"NT:/limelight/.timing_data",true
5.487913,"NT:/limelight/.timing_data",false
5.494744,"NT:/limelight/.timing_data",true
5.500884,"NT:/limelight/.timing_data",false
5.507433,"NT:/limelight/.timing_data",true
5.515045,"NT:/limelight/.timing_data",false
5.521833,"NT:/limelight/.timing_data",true
5.528661,"NT:/limelight/.timing_data",false
5.53633,"NT:/limelight/.timing_data",true
5.542633,"NT:/limelight/.timing_data",false
5.548877,"NT:/limelight/.timing_data",true
5.555608,"NT:/limelight/.timing_data",false
5.562521,"NT:/limelight/.timing_data",true
5.569202,"NT:/limelight/.timing_data",false
5.576172,"NT:/limelight/.timing_data",true
5.58309,"NT:/limelight/.timing_data",false
5.592253,"NT:/limelight/.timing_data",true
5.59947,"NT:/limelight/.timing_data",false
5.605988,"NT:/limelight/.timing_data",true
5.612725,"NT:/limelight/.timing_data",false
5.619916,"NT:/limelight/.timing_data",true
5.626215,"NT:/limelight/.timing_data",false
5.632803,"NT:/limelight/.timing_data",true
5.646338,"NT:/limelight/.timing_data",false
5.666535,"NT:/limelight/.timing_data",true
5.686851,"NT:/limelight/.timing_data",false
5.706791,"NT:/limelight/.timing_data",true
5.72709,"NT:/limelight/.timing_data",false
5.747076,"NT:/limelight/.timing_data",true
5.767419,"NT:/limelight/.timing_data",false
5.787849,"NT:/limelight/.timing_data",true
5.807758,"NT:/limelight/.timing_data",false
5.827229,"NT:/limelight/.timing_data",true
5.846913,"NT:/limelight/.timing_data",false
5.866351,"NT:/limelight/.timing_data",true
5.886375,"NT:/limelight/.timing_data",false
5.906716,"NT:/limelight/.timing_data",true
5.926465,"NT:/limelight/.timing_data",false
5.946457,"NT:/limelight/.timing_data",true
5.967018,"NT:/limelight/.timing_data",false
5.986313,"NT:/limelight/.timing_data",true
6.006282,"NT:/limelight/.timing_data",false
6.0316,"NT:/limelight/.timing_data",true
6.047313,"NT:/limelight/.timing_data",false
6.067605,"NT:/limelight/.timing_data",true
6.088604,"NT:/limelight/.timing_data",false
6.10654,"NT:/limelight/.timing_data",true
6.127723,"NT:/limelight/.timing_data",false
6.146427,"NT:/limelight/.timing_data",true
6.166654,"NT:/limelight/.timing_data",false
6.186707,"NT:/limelight/.timing_data",true
